Title,Category,Status,Priority,StartDate,EndDate,IssueType,Severity,Environment,Description,CreatedAt,UpdatedAt,AssignedTo,TestRunID
Add tracking code for user interactions,Task,Closed,Medium,8/11/2022,11/19/2022,UI/Design,Major,Staging,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",2022-03-02T20:07:31Z,2023-02-10T13:47:13Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae2
Product image not loading on details page,Bug,Closed,Medium,9/10/2022,10/21/2023,Performance,Minor,Staging,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",2021-05-19T14:29:53Z,2024-05-27T12:00:40Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae5
Improve search functionality,Bug,In Progress,High,3/13/2023,2/7/2023,Server Error,Minor,Production,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2022-08-09T17:21:00Z,2024-03-09T00:46:03Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae9
Improve checkout process,Task,Closed,Medium,6/15/2023,4/5/2023,Functionality,Critical,Staging,"Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",2021-02-16T17:59:04Z,2022-12-14T21:25:12Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae2
Update error messages for login,Bug,In Progress,Medium,7/11/2023,4/7/2023,Functionality,Minor,QA,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",2022-03-26T06:31:14Z,2022-02-15T02:47:35Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ad8
Improve search functionality,Task,Open,Low,8/30/2022,11/19/2023,Tracking,Critical,QA,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",2022-10-30T03:32:02Z,2024-08-04T18:42:39Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae3
Fix broken links on product details page,Bug,Closed,Low,9/13/2023,1/22/2024,Functionality,Critical,QA,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",2021-08-03T10:44:14Z,2024-06-30T08:25:36Z,666011d01cc6e634de0ff70d,6660219ed70be
Fix server error on checkout,Improvement,Closed,Medium,5/21/2023,10/12/2023,SEO,Minor,Production,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2022-03-12T00:30:14Z,2024-02-16T10:45:32Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae2
Implement pagination for search results,Task,Open,Medium,1/28/2023,7/10/2023,Server Error,Critical,Staging,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",2021-11-03T22:38:51Z,2024-01-29T03:23:28Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae4
Implement pagination for search results,Bug,Open,Medium,7/18/2023,9/30/2023,Performance,Critical,Development,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",2021-03-24T11:48:31Z,2023-05-03T00:10:29Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae2
Improve checkout process,Improvement,Closed,Low,8/18/2022,4/3/2023,Functionality,Major,Development,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,2022-04-06T16:53:12Z,2023-02-09T15:44:20Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae4
Login button not responsive,Task,Open,Medium,3/17/2023,8/17/2023,UI/Design,Major,Production,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",2021-03-22T17:30:29Z,2023-03-05T14:55:19Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6adf
Login button not responsive,Bug,Closed,High,2/19/2023,5/25/2023,SEO,Critical,Development,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",2021-01-20T10:41:59Z,2022-09-08T17:49:27Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae0
Update error messages for login,Task,In Progress,Low,4/18/2023,9/15/2023,Tracking,Major,Development,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",2021-03-20T01:44:58Z,2024-04-19T10:07:32Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae0
Improve checkout process,Improvement,Closed,Medium,1/14/2023,4/4/2023,Tracking,Major,Staging,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",2021-06-04T07:11:00Z,2022-08-10T09:59:44Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae4
Login button not responsive,Bug,In Progress,Medium,7/6/2023,4/7/2024,Server Error,Minor,Development,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",2021-06-29T17:06:12Z,2023-11-12T01:32:59Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae4
Improve checkout process,Task,In Progress,Medium,11/21/2022,3/17/2023,UI/Design,Major,Production,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",2021-01-23T03:04:46Z,2023-04-08T15:25:35Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae2
Add tracking code for user interactions,Bug,Open,Low,11/25/2022,9/1/2023,UI/Design,Critical,Production,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,2021-09-23T05:01:40Z,2023-08-30T18:44:30Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ad9
Update error messages for login,Improvement,Open,Low,10/17/2022,4/2/2024,Performance,Minor,QA,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",2022-09-15T19:27:19Z,2023-05-11T06:53:01Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae2
Implement pagination for search results,Improvement,In Progress,High,8/13/2023,7/2/2024,UI/Design,Critical,Production,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",2022-09-20T16:59:16Z,2022-02-10T13:10:26Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae4
Improve checkout process,Task,In Progress,High,9/19/2023,6/13/2023,SEO,Minor,Development,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",2021-04-19T17:43:58Z,2024-05-02T22:21:13Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae3
Login button not responsive,Bug,Open,Medium,5/24/2023,6/12/2024,Functionality,Major,QA,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",2022-09-28T08:53:16Z,2022-08-23T12:20:47Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6adf
Optimize database queries,Task,Open,Medium,9/5/2023,10/9/2023,SEO,Minor,Development,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",2021-02-13T10:02:14Z,2022-10-03T10:23:46Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae5
Update error messages for login,Improvement,Closed,High,10/3/2022,4/15/2024,Performance,Minor,QA,"Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",2022-01-16T18:21:09Z,2023-08-05T23:46:53Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae2
Update UI design for homepage,Task,Open,Medium,4/10/2023,10/29/2022,Functionality,Critical,Staging,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",2021-09-26T04:25:36Z,2023-01-28T14:49:14Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae4
Login button not responsive,Task,Open,Low,9/24/2022,4/1/2023,Console Error,Critical,Staging,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2022-03-22T19:38:52Z,2022-09-19T22:09:48Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6adf
Fix broken links on product details page,Task,In Progress,Medium,8/29/2022,4/7/2023,SEO,Minor,Staging,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",2022-01-06T21:03:20Z,2023-11-21T09:23:27Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ad9
Update error messages for login,Task,In Progress,Low,10/29/2022,7/20/2024,Functionality,Minor,Production,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2022-01-11T23:39:29Z,2023-03-07T22:52:58Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6adf
Update error messages for login,Task,Open,Low,1/27/2023,10/19/2023,Tracking,Minor,Production,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",2022-06-17T14:48:57Z,2023-01-07T12:39:48Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae1
Fix broken links on product details page,Bug,Open,Medium,8/4/2022,1/5/2024,Console Error,Minor,Development,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",2022-11-29T20:09:28Z,2024-02-18T10:27:56Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6adf
Update error messages for login,Improvement,Closed,High,9/16/2023,5/16/2024,Functionality,Critical,QA,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,2021-06-24T07:01:46Z,2023-04-29T07:39:35Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae9
Improve search functionality,Bug,Open,Low,5/11/2023,8/1/2024,UI/Design,Major,QA,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,2021-11-12T14:55:08Z,2022-07-15T08:11:04Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae7
Implement pagination for search results,Bug,Closed,Low,6/23/2023,2/21/2023,Tracking,Major,Development,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",2021-05-09T13:32:20Z,2023-03-20T17:05:17Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae9
Improve search functionality,Improvement,Closed,High,9/3/2023,5/18/2024,Functionality,Minor,Development,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",2021-03-17T07:51:11Z,2023-10-31T03:15:18Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae5
Fix server error on checkout,Bug,Closed,Low,2/13/2023,3/30/2024,Tracking,Major,Staging,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",2022-08-20T01:01:39Z,2022-05-22T11:07:23Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae5
Optimize database queries,Improvement,In Progress,Medium,5/21/2023,10/20/2022,Server Error,Critical,Development,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,2021-09-29T02:51:06Z,2022-03-28T07:05:08Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae1
Update UI design for homepage,Task,In Progress,High,9/5/2022,1/18/2024,SEO,Major,Development,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",2021-09-29T15:13:07Z,2023-07-05T03:20:33Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae9
Improve search functionality,Improvement,Open,Medium,2/13/2023,8/3/2024,Console Error,Critical,Development,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",2022-04-10T15:16:43Z,2022-07-26T01:38:19Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae5
Update error messages for login,Bug,Closed,Low,3/27/2023,10/25/2022,Performance,Critical,Production,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,2022-12-21T08:57:41Z,2023-06-01T22:06:08Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae8
Update UI design for homepage,Improvement,Closed,Medium,9/25/2022,7/16/2024,Server Error,Critical,QA,"Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",2022-02-07T17:20:55Z,2023-09-09T05:20:14Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6adb
Improve checkout process,Improvement,In Progress,High,6/8/2023,2/29/2024,Performance,Minor,Production,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,2021-06-21T00:12:18Z,2023-03-28T13:10:47Z,665f39f9eef319f64ee080f6,6660219ed70be
Product image not loading on details page,Improvement,In Progress,Medium,12/27/2022,4/7/2024,UI/Design,Major,Production,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,2021-03-24T11:28:46Z,2022-07-03T04:59:10Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ad8
Update UI design for homepage,Bug,In Progress,High,9/12/2023,10/4/2023,Server Error,Major,Development,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",2021-04-23T23:01:51Z,2023-10-04T14:50:06Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae3
Fix broken links on product details page,Bug,In Progress,High,11/30/2022,2/24/2023,Server Error,Major,QA,"Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2021-11-25T23:27:02Z,2023-08-23T07:14:49Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ade
Improve checkout process,Improvement,Closed,Low,5/13/2023,9/15/2023,UI/Design,Critical,Production,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",2021-01-02T10:01:35Z,2023-10-05T15:07:25Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae7
Improve search functionality,Bug,Closed,Low,9/1/2023,2/22/2024,Tracking,Critical,Production,"Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",2021-05-03T21:18:07Z,2022-06-10T05:47:05Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae8
Update error messages for login,Bug,Closed,Low,9/24/2023,12/11/2023,Server Error,Minor,Development,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,2021-05-20T20:03:39Z,2023-12-23T11:09:48Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae2
Update UI design for homepage,Improvement,Open,Medium,6/3/2023,5/20/2024,SEO,Minor,QA,"Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2021-09-14T19:14:15Z,2023-06-09T07:47:51Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6adf
Update UI design for homepage,Bug,Open,High,12/19/2022,3/12/2024,Server Error,Major,QA,Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.,2022-09-28T16:48:54Z,2022-12-07T15:44:19Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae4
Fix broken links on product details page,Task,In Progress,Low,7/3/2023,3/31/2024,Functionality,Minor,Production,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2021-08-02T00:08:08Z,2022-06-17T14:17:26Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae3
Improve search functionality,Improvement,Open,Low,7/14/2023,2/3/2024,Server Error,Critical,Development,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",2021-05-30T09:39:41Z,2022-09-17T04:39:31Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae5
Fix server error on checkout,Improvement,Open,Low,1/12/2023,2/5/2024,Performance,Critical,Staging,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",2022-12-16T09:53:03Z,2023-07-29T10:55:22Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6adf
Update error messages for login,Bug,Open,Medium,9/7/2023,12/24/2022,SEO,Major,Staging,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,2022-07-06T16:02:38Z,2024-03-23T05:35:07Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae9
Fix broken links on product details page,Improvement,Open,High,2/25/2023,11/12/2022,Console Error,Major,Development,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",2022-09-25T13:24:02Z,2023-07-31T05:38:39Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae3
Fix broken links on product details page,Bug,In Progress,Medium,10/12/2022,3/6/2024,UI/Design,Critical,Staging,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",2021-06-19T00:19:58Z,2022-12-11T18:25:26Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6adb
Update UI design for homepage,Bug,Open,High,3/9/2023,1/29/2023,Performance,Critical,Staging,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,2022-11-08T07:00:28Z,2022-12-14T14:11:27Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae7
Implement pagination for search results,Improvement,Closed,High,9/6/2023,6/2/2024,SEO,Major,Development,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",2022-10-14T05:40:44Z,2023-03-03T13:56:43Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ade
Fix server error on checkout,Bug,In Progress,Medium,8/15/2022,10/23/2023,Console Error,Major,Production,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",2021-10-20T14:53:19Z,2024-07-29T09:12:19Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ad9
Update UI design for homepage,Improvement,Open,Low,1/2/2023,3/9/2024,UI/Design,Critical,Staging,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.",2022-02-26T00:12:12Z,2023-07-21T17:45:00Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae9
Update UI design for homepage,Bug,Open,High,1/19/2023,9/3/2023,Server Error,Major,Staging,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",2022-11-14T00:18:42Z,2023-04-05T20:06:44Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae8
Improve checkout process,Bug,Open,Medium,1/20/2023,1/7/2024,Server Error,Critical,QA,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2021-03-23T02:13:44Z,2023-02-06T03:19:52Z,665f39f9eef319f64ee080f6,6660219ed70be
Optimize database queries,Improvement,In Progress,Medium,10/27/2022,9/30/2023,Console Error,Minor,Development,"Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",2022-09-12T11:52:02Z,2023-10-05T06:49:38Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae5
Improve search functionality,Task,In Progress,Medium,7/6/2023,4/6/2023,Server Error,Major,Development,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.,2021-10-13T19:48:03Z,2022-05-31T00:18:31Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae4
Update error messages for login,Improvement,Open,High,7/10/2023,6/8/2024,UI/Design,Critical,Development,"Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",2021-08-05T17:23:41Z,2022-07-11T16:08:10Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6adf
Update UI design for homepage,Improvement,Open,High,3/29/2023,1/3/2023,Tracking,Major,Staging,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.,2021-03-13T23:36:37Z,2023-11-05T18:02:02Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae0
Login button not responsive,Task,Open,Medium,9/18/2023,1/30/2024,UI/Design,Major,QA,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",2021-05-20T19:49:27Z,2023-05-15T23:08:40Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae4
